CD,Artista,Precio
2 Generos un Flow,Baby & Jibaro,18.95
A Fuegote,Clan De Fuego,18.95
Ahora Le Toca Al Cangri Live,Daddy Yankee,18.95
Ares,Arcangel,18.95
Assasins Se Soltaron Los De Afuera,Crime Music,18.95
Babilla,Vico C,14.75
Babilonia,Varios Artistas,25.00
Back To Reggaeton,Don Omar,20.00
Barrio Fino En Directo,Daddy Yankee,20.00
Before And After,Magnate & Valentino,20.00
Black Label,Black Label,14.75
Blin Blin 1,Blin Blin Music,33.00
Buddhas Family 2 Desde La Prision,Varios Artistas,45.00
Calle 13,Calle 13,14.75
Calle 13 (Explicit Version),Calle 13,14.75
Censurado,Ranking Stone,35.00
Clase Aparte,Yaga & Mackie,22.00
Collection Two,Guanabanas,40.00
Contra Todos,DJ Blaster,35.00
D Fame,Varios Artistas,14.75
D Untouchables,DJ David,14.75
Da Music The Next Level,Varios Artistas,18.95
Da Take Over,Khriz & Angel,22.00
Damelo,The Mosa Project,14.75
Dangerous,Yandel,18.95
De Camino Pa La Cima,J Alvarez,18.95
De Camino Pa La Cima Reloaded,J Alvarez,18.95
De Lider a Leyenda,Yandel,18.95
De Lider A Leyenda Tour Deluxe (Sellado),Yandel,22.00
Del Pueblo Pal Pueblo,El Pueblo,15.00
Desafio (Edicion 2003),Varios Artistas,45.00
Desafio (Edicion 2004),Varios Artistas,45.00
Desafio Platinum Edition,Varios Artistas,40.00
Desafio Remix,Varios Artistas,27.00
Desahogo,Vico C,14.75
Desde La Isla Del Caiman,90 Millas,14.75
Destruccion Total,Platinum Entertaiment,14.75
Don Fichureo,Don Chezina,18.95
Down To Earth,Alexis & Fido,30.00
El Abayarde (Edicion Sony),Tego Calderon,14.75
El Abayarde Contraataca,Tego Calderon,18.95
El Bando Korrupto 2,The Money Machine,30.00
El Bando Korrupto 2.5,The Money Machine,30.00
El Cartel 3,Daddy Yankee,18.95
El Cartel 3 (CD/DVD),Daddy Yankee,27.00
El Draft 2005,Chencho Records,14.75
El Dragon,Johny Prez,20.00
El Independiente,Gringo,30.00
El Jangueo,Varios Artistas,25.00
El Momento,Jowell & Randy,35.00
El Patron,Tito El Bambino,18.95
El Patron La Victoria,Tito El Bambino,18.95
El Regreso Del Sobreviviente Deluxe Edition,Wisin,25.00
